city_id,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sechura,-5.56,-80.82,76.5,51,5,14.81,PE,1604513135
1,kapaa,22.08,-159.32,78.8,88,40,9.17,US,1604513135
2,souillac,-20.52,57.52,73.4,73,75,10.29,MU,1604513135
3,barrow,71.29,-156.79,26.6,58,20,26.4,US,1604512892
4,wolfhagen,51.33,9.17,42.8,81,20,6.93,DE,1604512945
5,dikson,73.51,80.55,1.58,91,0,8.32,RU,1604513135
6,bilma,18.69,12.92,76.77,19,48,7.14,NE,1604513135
7,faanui,-16.48,-151.75,79.16,80,100,15.37,PF,1604513135
8,waverly,42.74,-84.62,70.0,45,1,16.11,US,1604512839
9,narsaq,60.92,-46.05,30.2,86,75,3.36,GL,1604513136
10,kodiak,57.79,-152.41,26.6,49,1,6.93,US,1604513136
11,cidreira,-30.18,-50.21,64.92,52,30,11.83,BR,1604513136
12,kibre mengist,5.88,38.98,59.41,88,19,1.19,ET,1604513136
13,bambous virieux,-20.34,57.76,73.4,73,75,10.29,MU,1604513136
14,coquimbo,-29.95,-71.34,60.8,67,75,10.29,CL,1604513136
15,jamestown,42.1,-79.24,61.0,41,1,13.87,US,1604512961
16,lukhovitsy,54.97,39.04,46.0,92,95,1.99,RU,1604513136
17,villanueva de cordoba,38.32,-4.63,62.6,77,40,8.05,ES,1604513136
18,berlevag,70.86,29.09,35.6,86,40,29.97,NO,1604513136
19,bemidji,47.47,-94.88,69.8,42,1,5.82,US,1604512912
20,port alfred,-33.59,26.89,68.7,82,88,10.13,ZA,1604513137
21,punta arenas,-53.15,-70.92,44.6,87,90,4.7,CL,1604513137
22,rikitea,-23.12,-134.97,73.44,77,12,16.08,PF,1604513137
23,hithadhoo,-0.6,73.08,83.59,71,23,5.08,MV,1604513137
24,beloha,-25.17,45.05,68.86,89,51,2.15,MG,1604513137
25,jackson,42.42,-122.83,51.8,50,1,3.36,US,1604512849
26,hermanus,-34.42,19.23,68.0,80,27,8.01,ZA,1604513137
27,kilinochchi,9.4,80.4,79.88,82,50,4.41,LK,1604513137
28,fairbanks,64.84,-147.72,-27.4,66,1,1.34,US,1604513102
29,pangnirtung,66.15,-65.71,10.4,55,40,10.29,CA,1604513137
30,kuopio,62.89,27.68,41.0,93,75,6.93,FI,1604513138
31,sinazongwe,-17.26,27.46,82.11,57,38,7.52,ZM,1604512846
32,castro,-24.79,-50.01,66.63,64,68,7.78,BR,1604513138
33,aklavik,68.22,-135.01,5.0,84,90,8.05,CA,1604513043
34,tuktoyaktuk,69.45,-133.04,12.2,85,90,13.87,CA,1604513138
35,alofi,-19.06,-169.92,73.4,88,6,11.41,NU,1604513138
36,pafos,34.77,32.42,69.8,46,40,11.41,CY,1604513138
37,camacha,33.08,-16.33,62.6,77,75,19.46,PT,1604513138
38,qaanaaq,77.48,-69.36,-1.5,86,96,1.34,GL,1604513139
39,dingle,11.0,122.67,75.97,89,99,2.84,PH,1604513139
40,la ronge,55.1,-105.28,41.0,80,100,3.36,CA,1604513139
41,acapulco,16.86,-99.89,89.6,35,5,4.21,MX,1604512894
42,luderitz,-26.65,15.16,62.11,89,10,13.49,NA,1604513139
43,praia,14.92,-23.51,82.4,69,75,5.82,CV,1604513139
44,saravena,6.95,-71.88,81.23,83,70,3.27,CO,1604513139
45,inhambane,-23.86,35.38,77.0,88,40,13.87,MZ,1604513140
46,provideniya,64.38,-173.3,28.18,98,100,10.09,RU,1604513140
47,bengkulu,-3.8,102.27,75.6,88,98,4.88,ID,1604513140
48,lamar,33.67,-95.58,72.0,40,1,13.87,US,1604513141
49,hilo,19.73,-155.09,75.2,88,90,8.05,US,1604513141
50,sinnamary,5.38,-52.95,84.7,68,95,11.5,GF,1604513141
51,maragogi,-9.01,-35.22,82.58,65,73,12.68,BR,1604512888
52,mar del plata,-38.0,-57.56,71.6,43,0,19.46,AR,1604513075
53,grass valley,39.22,-121.06,72.0,14,1,3.36,US,1604513142
54,brae,60.4,-1.35,50.0,87,75,31.09,GB,1604513142
55,cabo san lucas,22.89,-109.91,88.0,66,20,4.7,MX,1604513143
56,malakal,9.53,31.66,83.57,48,54,2.57,SS,1604513143
57,tabou,4.42,-7.35,79.92,84,46,5.97,CI,1604513143
58,east london,-33.02,27.91,69.8,83,75,5.82,ZA,1604513143
59,ushuaia,-54.8,-68.3,60.8,41,0,5.82,AR,1604512945
60,ribeira grande,38.52,-28.7,62.6,63,40,11.41,PT,1604513144
61,chuy,-33.7,-53.46,64.87,54,19,13.04,UY,1604513144
62,moundou,8.57,16.08,83.39,40,31,3.0,TD,1604513144
63,tasiilaq,65.61,-37.64,28.4,92,20,14.99,GL,1604513144
64,chateaubelair,13.28,-61.25,86.0,66,20,5.82,VC,1604513144
65,kruisfontein,-34.0,24.73,69.01,82,93,4.0,ZA,1604513144
66,saint-philippe,-21.36,55.77,73.4,60,75,12.75,RE,1604513144
67,bredasdorp,-34.53,20.04,68.0,77,39,12.75,ZA,1604513144
68,trelew,-43.25,-65.31,81.84,22,22,23.29,AR,1604513144
69,kastamonu,41.5,33.67,44.89,84,97,4.52,TR,1604513144
70,puerto ayora,-0.74,-90.35,77.0,73,75,21.92,EC,1604513145
71,guarapari,-20.67,-40.5,73.4,78,75,5.82,BR,1604513145
72,coswig,51.13,13.58,46.99,75,0,3.36,DE,1604513120
73,busselton,-33.65,115.33,53.01,74,91,1.99,AU,1604513145
74,valdivia,-39.81,-73.25,59.0,62,75,10.29,CL,1604512923
